Date,Bitcoin_Price,Gold_Price,Bitcoin_Normalized,Gold_Normalized
2016-12-23,860.18,107.93,364.529389329152,95.44570215776443
2016-12-30,975.89,109.61,413.5652837225071,96.93137601697913
2017-01-06,999.65,111.75,423.6343603000381,98.82384152812168
2017-01-13,780.92,114.21,330.9403737763275,100.99929253625753
2017-01-20,903.1,115.05,382.7181421367123,101.74212946586488
2017-01-27,893.14,113.49,378.49726660168665,100.36257516802263
2017-02-03,1008.67,116.13,427.4568801118786,102.69720551821719
2017-02-10,1050.7,117.6,445.2684663304658,103.99717014503007
2017-02-17,1035.2,117.68,438.69983472475315,104.0679165192784
2017-02-24,1130.01,119.7,478.8786710175022,105.85426246904845
2017-03-03,1257.6,117.51,532.9491036996228,103.9175804740007
2017-03-10,1155.11,114.72,489.51561639191414,101.45030067209055
2017-03-17,1170.2,116.99,495.9104970970887,103.45772904138664
2017-03-24,1030.2,118.86,436.5809213035556,105.1114255394411
2017-03-31,1034.74,118.72,438.50489469000297,104.98761938450653
2017-04-07,1133.53,119.46,480.3703860660253,105.6420233463035
2017-04-14,1174.43,122.6,497.70309785142183,108.41881853555005
2017-04-21,1205.0,122.31,510.65813450862396,108.1623629288999
2017-04-28,1330.33,120.77,563.7708183243633,106.80049522461974
2017-05-05,1501.0,117.01,636.0978090435225,103.4754156349487
2017-05-12,1829.0,116.83,775.0985294740857,103.31623629289
2017-05-19,1783.98,119.4,756.0198330296224,105.58896356561726
2017-05-26,2277.01,120.54,964.957409840234,106.59709939865583
2017-06-02,2298.01,121.61,973.8568462092641,107.54333215422709
2017-06-09,2809.01,120.54,1190.4097978556597,106.59709939865583
2017-06-16,2445.0,119.34,1036.1486629656313,105.53590378493102
2017-06-23,2713.48,119.43,1149.925838030258,105.61549345596039
2017-06-30,2558.3,118.02,1084.1632410899692,104.36858860983374
2017-07-07,2599.67,115.28,1101.6951307369582,101.94552529182879
2017-07-14,2388.0,116.77,1011.9930499639786,103.26317651220376
2017-07-21,2840.0,119.26,1203.5428232402423,105.46515741068272
2017-07-28,2516.93,120.69,1066.6313514429798,106.72974885037141
