Date,Bitcoin_Price,Gold_Price,Bitcoin_Weekly_Return,Gold_Weekly_Return
2016-11-25,735.64,112.61,-0.51121149008681588,-2.2058184976118111
2016-12-02,742.05,112.14,0.87135011690500086,-0.41736968297664268
2016-12-09,767.28,110.4,3.4000404285425612,-1.5516318887105363
2016-12-16,777.09,108.05,1.2785423834845266,-2.1286231884058093
2016-12-23,860.18,107.93,10.692455185371053,-0.11105969458583553
2016-12-30,975.89,109.61,13.451835662303235,1.5565644399147427
2017-01-06,999.65,111.75,2.4347006322433806,1.9523766079737159
2017-01-13,780.92,114.21,-21.880658230380632,2.2013422818791817
2017-01-20,903.1,115.05,15.645648722020189,0.73548726030996381
2017-01-27,893.14,113.49,-1.102867899457427,-1.3559322033898313
2017-02-03,1008.67,116.13,12.935262108963874,2.3261961406291221
2017-02-10,1050.7,117.6,4.1668732092755789,1.2658227848101333
2017-02-17,1035.2,117.68,-1.4752070048539068,0.06802721088436936
2017-02-24,1130.01,119.7,9.15861669242657,1.7165193745751095
2017-03-03,1257.6,117.51,11.291050521676782,-1.8295739348370921
2017-03-10,1155.11,114.72,-8.14965012722646,-2.3742660199132071
2017-03-17,1170.2,116.99,1.3063690903896807,1.978730822873076
2017-03-24,1030.2,118.86,-11.96376687745685,1.5984272160013635
2017-03-31,1034.74,118.72,0.44069112793632126,-0.11778563015312216
2017-04-07,1133.53,119.46,9.54732589829328,0.62331536388140485
2017-04-14,1174.43,122.6,3.608197401039237,2.62849489368826
2017-04-21,1205.0,122.31,2.6029648425193397,-0.23654159869493929
2017-04-28,1330.33,120.77,10.400829875518669,-1.2590957403319503
2017-05-05,1501.0,117.01,12.829147655093109,-3.1133559658855559
2017-05-12,1829.0,116.83,21.852098600932713,-0.15383300572601177
2017-05-19,1783.98,119.4,-2.4614543466375038,2.1997774544209703
2017-05-26,2277.01,120.54,27.636520588795843,0.95477386934672559
2017-06-02,2298.01,121.61,0.92226208931889264,0.88767214202754019
2017-06-09,2809.01,120.54,22.236630824060821,-0.87986185346599077
2017-06-16,2445.0,119.34,-12.958658032545278,-0.99552015928322524
2017-06-23,2713.48,119.43,10.980777096114513,0.07541478129713397
2017-06-30,2558.3,118.02,-5.7188554918407348,-1.180607887465468
2017-07-07,2599.67,115.28,1.6170894734784724,-2.3216403999322122
2017-07-14,2388.0,116.77,-8.1421872776160082,1.29250520471893
2017-07-21,2840.0,119.26,18.927973199329973,2.1323970197824949
2017-07-28,2516.93,120.69,-11.375704225352123,1.1990608753982723
2017-08-04,2790.0,119.65,10.84932834842447,-0.86171182368049992
2017-08-11,3340.28,122.79,19.723297491039425,2.6243209360635289
2017-08-18,4279.79,122.3,28.126683990563663,-0.3990552976626871
2017-08-25,4133.67,122.74,-3.4141862100710574,0.35977105478330884
2017-09-01,4732.87,126.06,14.495593504077476,2.7049046765520668
2017-09-08,4612.12,127.97,-2.5513060785527619,1.5151515151515138
2017-09-15,3216.43,125.53,-30.261354865007849,-1.9066968820817376
2017-09-22,3894.48,123.24,21.080825635875811,-1.8242651159085521
2017-09-29,4189.38,121.58,7.5722561163493074,-1.3469652710158986
2017-10-06,4211.55,121.09,0.52919525084857977,-0.40302681362065496
2017-10-13,5435.75,123.82,29.067682919590165,2.254521430341061
2017-10-20,5571.92,121.61,2.5050820953870234,-1.7848489743175544
2017-10-27,5889.82,120.9,5.7053941908713712,-0.583833566318559
2017-11-03,6751.98,120.62,14.638138347182084,-0.23159636062861644
2017-11-10,7092.42,121.13,5.04207654643527,0.42281545349029948
2017-11-17,7279.78,122.86,2.6416935263281038,1.4282176174358119
2017-11-24,8043.31,122.32,10.488366406677141,-0.43952466221716113
2017-12-01,9646.35,121.59,19.9301034027036,-0.5967952910398866
2017-12-08,16860.88,118.48,74.79025745489227,-2.5577761329056647
2017-12-15,16252.31,119.18,-3.609360840003617,0.59081701553005406
2017-12-22,15521.07,120.94,-4.499298868899249,1.4767578452760555
2017-12-29,15422.19,123.65,-0.63706948039019551,2.2407805523400048
2018-01-05,15169.66,125.33,-1.6374457842887491,1.3586736756975304
2018-01-12,14882.86,126.96,-1.8906158740538581,1.3005665044283132
2018-01-19,11174.82,126.42,-24.914834917482263,-0.42533081285444085
2018-01-26,11392.03,128.07,1.9437449551760189,1.305173232083523
2018-02-02,9098.27,126.39,-20.134778437205657,-1.3117826188802972
2018-02-09,7585.17,124.77,-16.630634175508096,-1.2817469736529863
2018-02-16,10033.77,127.96,32.2814122821242,2.5567043359781882
2018-02-23,10485.78,126.14,4.504886996612445,-1.4223194748358758
2018-03-02,10931.12,125.39,4.2470851000116383,-0.59457745362295755
2018-03-09,9920.46,125.54,-9.24571315656586,0.1196267644947735
2018-03-16,8263.34,124.6,-16.704064126058661,-0.74876533375817234
2018-03-23,8909.26,127.61,7.8166939760435872,2.4157303370786476
2018-03-30,7099.17,125.79,-20.316951127254114,-1.4262205156335694
2018-04-06,6810.71,126.39,-4.063291905955202,0.47698545194370112
2018-04-13,7941.46,127.45,16.602527489791807,0.83867394572354481
2018-04-20,8175.96,126.63,2.9528575350124431,-0.64338956453511287
2018-04-27,9294.67,125.5,13.682919192363951,-0.89236357893074381
2018-05-04,9220.76,124.54,-0.79518691895462679,-0.76494023904382091
2018-05-11,9015.88,125.0,-2.22194265982415,0.36935924201060288
2018-05-18,8343.27,122.41,-7.4602811927399042,-2.0720000000000072
2018-05-25,7576.78,123.21,-9.18692551002186,0.6535413773384402
2018-06-01,7386.72,122.49,-2.5084534591211516,-0.58436815193572134
2018-06-08,7687.37,123.01,4.07014209283687,0.42452445097560521
2018-06-15,6299.89,121.34,-18.048825541114834,-1.3576132021786869
2018-06-22,6719.79,120.34,6.6651957415129415,-0.82413054227790106
2018-06-29,6143.97,118.65,-8.5690177818056767,-1.404354329400026
2018-07-06,6555.51,118.86,6.6982748939203862,0.17699115044247371
2018-07-13,6403.18,117.61,-2.3236941138065514,-1.0516574120814415
2018-07-20,7473.9,116.56,16.721691409580863,-0.89278122608621446
2018-07-27,8171.65,115.83,9.3358219938720168,-0.62628689087165235
2018-08-03,7535.88,114.92,-7.7801912710407262,-0.78563411896744872
2018-08-10,6277.59,114.69,-16.697320021019447,-0.20013922728855382
2018-08-17,6312.75,112.13,0.56008754952139306,-2.2321039323393466
